"Plot Title: 20781943"
"#","Date Time, GMT-04:00","Low Range, μS/cm (LGR S/N: 20781943, SEN S/N: 20781943)","Full Range, μS/cm (LGR S/N: 20781943, SEN S/N: 20781943)","Temp, °C (LGR S/N: 20781943, SEN S/N: 20781943)"
63,20-03-09 01:55:00 PM,10.2,7.3,8.72
64,20-03-09 02:00:00 PM,10.2,7.7,8.80
65,20-03-09 02:05:00 PM,10.2,7.7,8.82
66,20-03-09 02:10:00 PM,10.2,7.3,8.82
67,20-03-09 02:15:00 PM,10.3,7.3,8.87
68,20-03-09 02:20:00 PM,10.3,7.7,8.95
69,20-03-09 02:25:00 PM,10.3,7.7,9.03
70,20-03-09 02:30:00 PM,10.4,7.7,9.05
71,20-03-09 02:35:00 PM,10.3,7.3,8.95
72,20-03-09 02:40:00 PM,10.4,7.3,8.92
73,20-03-09 02:45:00 PM,10.3,7.7,9.03
74,20-03-09 02:50:00 PM,10.3,8.1,9.05
75,20-03-09 02:55:00 PM,10.4,7.3,9.23
76,20-03-09 03:00:00 PM,10.4,7.7,9.17
77,20-03-09 03:05:00 PM,10.4,8.1,9.11
78,20-03-09 03:10:00 PM,10.3,8.1,9.08
79,20-03-09 03:15:00 PM,10.4,7.7,9.14
80,20-03-09 03:20:00 PM,10.4,7.7,9.12
81,20-03-09 03:25:00 PM,10.4,7.3,9.16
82,20-03-09 03:30:00 PM,10.4,7.7,9.18
83,20-03-09 03:35:00 PM,10.4,8.1,9.22
84,20-03-09 03:40:00 PM,10.4,8.1,9.18
85,20-03-09 03:45:00 PM,10.4,7.7,9.30
86,20-03-09 03:50:00 PM,10.4,7.7,9.25
87,20-03-09 03:55:00 PM,10.4,7.3,9.25
88,20-03-09 04:00:00 PM,10.4,7.7,9.20
89,20-03-09 04:05:00 PM,10.4,7.7,9.23
90,20-03-09 04:10:00 PM,10.4,7.7,9.12
91,20-03-09 04:15:00 PM,10.4,7.7,9.23
92,20-03-09 04:20:00 PM,10.4,7.7,9.32
93,20-03-09 04:25:00 PM,10.4,7.7,9.38
94,20-03-09 04:30:00 PM,10.4,8.1,9.26
95,20-03-09 04:35:00 PM,10.4,7.7,9.29
96,20-03-09 04:40:00 PM,10.4,7.7,9.36
97,20-03-09 04:45:00 PM,10.4,7.7,9.45
98,20-03-09 04:50:00 PM,10.4,8.1,9.49
99,20-03-09 04:55:00 PM,10.4,8.1,9.47
100,20-03-09 05:00:00 PM,10.4,7.7,9.43
101,20-03-09 05:05:00 PM,10.4,7.7,9.42
102,20-03-09 05:10:00 PM,10.4,7.7,9.42
103,20-03-09 05:15:00 PM,10.4,7.7,9.35
104,20-03-09 05:20:00 PM,10.4,7.7,9.31
105,20-03-09 05:25:00 PM,10.4,8.1,9.38
106,20-03-09 05:30:00 PM,10.4,8.1,9.47
107,20-03-09 05:35:00 PM,10.4,7.7,9.48
108,20-03-09 05:40:00 PM,10.5,8.1,9.55
109,20-03-09 05:45:00 PM,10.4,7.7,9.50
110,20-03-09 05:50:00 PM,10.4,8.1,9.48
111,20-03-09 05:55:00 PM,10.4,8.1,9.45
112,20-03-09 06:00:00 PM,10.4,7.7,9.41
113,20-03-09 06:05:00 PM,10.4,8.1,9.43
114,20-03-09 06:10:00 PM,10.4,7.7,9.51
115,20-03-09 06:15:00 PM,10.4,7.7,9.54
116,20-03-09 06:20:00 PM,10.5,7.7,9.54
117,20-03-09 06:25:00 PM,10.5,7.7,9.51
118,20-03-09 06:30:00 PM,10.5,7.7,9.49
119,20-03-09 06:35:00 PM,10.4,7.7,9.48
120,20-03-09 06:40:00 PM,10.5,8.1,9.47
121,20-03-09 06:45:00 PM,10.5,7.7,9.45
122,20-03-09 06:50:00 PM,10.5,8.1,9.50
123,20-03-09 06:55:00 PM,10.5,7.7,9.54
124,20-03-09 07:00:00 PM,10.5,7.7,9.54
125,20-03-09 07:05:00 PM,10.5,7.7,9.50
126,20-03-09 07:10:00 PM,10.6,7.7,9.51
127,20-03-09 07:15:00 PM,10.5,7.7,9.54
128,20-03-09 07:20:00 PM,10.5,7.7,9.51
129,20-03-09 07:25:00 PM,10.5,7.7,9.49
130,20-03-09 07:30:00 PM,10.5,8.1,9.51
131,20-03-09 07:35:00 PM,10.4,7.7,9.50
132,20-03-09 07:40:00 PM,10.4,7.7,9.49
133,20-03-09 07:45:00 PM,10.5,7.7,9.50
134,20-03-09 07:50:00 PM,10.5,7.7,9.49
135,20-03-09 07:55:00 PM,10.5,7.7,9.48
136,20-03-09 08:00:00 PM,10.4,7.7,9.47
137,20-03-09 08:05:00 PM,10.5,7.7,9.49
138,20-03-09 08:10:00 PM,10.5,8.1,9.50
139,20-03-09 08:15:00 PM,10.4,7.7,9.54
140,20-03-09 08:20:00 PM,10.5,7.7,9.55
141,20-03-09 08:25:00 PM,10.5,7.7,9.56
142,20-03-09 08:30:00 PM,10.5,8.1,9.56
143,20-03-09 08:35:00 PM,10.5,8.1,9.53
144,20-03-09 08:40:00 PM,10.5,7.7,9.53
145,20-03-09 08:45:00 PM,10.5,8.1,9.53
146,20-03-09 08:50:00 PM,10.5,8.1,9.53
147,20-03-09 08:55:00 PM,10.5,7.7,9.55
148,20-03-09 09:00:00 PM,10.5,7.7,9.55
149,20-03-09 09:05:00 PM,10.6,7.7,9.56
150,20-03-09 09:10:00 PM,10.6,8.1,9.56
151,20-03-09 09:15:00 PM,10.6,8.1,9.55
152,20-03-09 09:20:00 PM,10.6,7.7,9.57
153,20-03-09 09:25:00 PM,10.6,7.7,9.58
154,20-03-09 09:30:00 PM,10.6,7.7,9.57
155,20-03-09 09:35:00 PM,10.6,8.1,9.57
156,20-03-09 09:40:00 PM,10.6,7.7,9.57
157,20-03-09 09:45:00 PM,10.6,8.1,9.58
158,20-03-09 09:50:00 PM,10.6,7.7,9.58
159,20-03-09 09:55:00 PM,10.6,8.1,9.57
160,20-03-09 10:00:00 PM,10.6,7.7,9.58
161,20-03-09 10:05:00 PM,10.6,8.1,9.57
162,20-03-09 10:10:00 PM,10.6,8.1,9.58
163,20-03-09 10:15:00 PM,10.6,8.1,9.58
164,20-03-09 10:20:00 PM,10.6,8.1,9.60
165,20-03-09 10:25:00 PM,10.6,8.1,9.58
166,20-03-09 10:30:00 PM,10.6,8.1,9.60
167,20-03-09 10:35:00 PM,10.6,8.1,9.61
168,20-03-09 10:40:00 PM,10.6,8.1,9.61
169,20-03-09 10:45:00 PM,10.6,8.1,9.62
170,20-03-09 10:50:00 PM,10.6,7.7,9.61
171,20-03-09 10:55:00 PM,10.7,8.1,9.61
172,20-03-09 11:00:00 PM,10.6,8.1,9.61
173,20-03-09 11:05:00 PM,10.6,8.1,9.61
174,20-03-09 11:10:00 PM,10.6,8.1,9.63
175,20-03-09 11:15:00 PM,10.6,8.1,9.61
176,20-03-09 11:20:00 PM,10.6,8.1,9.66
177,20-03-09 11:25:00 PM,10.6,8.1,9.63
178,20-03-09 11:30:00 PM,10.6,8.1,9.66
179,20-03-09 11:35:00 PM,10.6,7.7,9.64
180,20-03-09 11:40:00 PM,10.6,7.7,9.62
181,20-03-09 11:45:00 PM,10.6,8.1,9.61
182,20-03-09 11:50:00 PM,10.5,8.1,9.62
183,20-03-09 11:55:00 PM,10.5,8.1,9.60
184,20-03-10 12:00:00 AM,10.5,8.1,9.60
185,20-03-10 12:05:00 AM,10.5,8.1,9.60
186,20-03-10 12:10:00 AM,10.5,8.1,9.63
187,20-03-10 12:15:00 AM,10.5,7.7,9.68
188,20-03-10 12:20:00 AM,10.5,7.7,9.62
189,20-03-10 12:25:00 AM,10.5,7.7,9.64
190,20-03-10 12:30:00 AM,10.5,8.1,9.64
191,20-03-10 12:35:00 AM,10.5,7.7,9.62
192,20-03-10 12:40:00 AM,10.5,7.7,9.62
193,20-03-10 12:45:00 AM,10.5,8.1,9.63
194,20-03-10 12:50:00 AM,10.5,8.1,9.64
195,20-03-10 12:55:00 AM,10.5,7.7,9.66
196,20-03-10 01:00:00 AM,10.5,7.7,9.66
197,20-03-10 01:05:00 AM,10.5,7.7,9.64
198,20-03-10 01:10:00 AM,10.5,7.7,9.61
199,20-03-10 01:15:00 AM,10.5,8.1,9.64
200,20-03-10 01:20:00 AM,10.5,8.1,9.66
201,20-03-10 01:25:00 AM,10.5,7.7,9.67
202,20-03-10 01:30:00 AM,10.5,7.7,9.69
203,20-03-10 01:35:00 AM,10.5,8.1,9.69
204,20-03-10 01:40:00 AM,10.5,8.1,9.62
205,20-03-10 01:45:00 AM,10.5,7.7,9.67
206,20-03-10 01:50:00 AM,10.5,7.7,9.68
207,20-03-10 01:55:00 AM,10.6,7.7,9.72
208,20-03-10 02:00:00 AM,10.5,7.7,9.70
209,20-03-10 02:05:00 AM,10.5,7.7,9.68
210,20-03-10 02:10:00 AM,10.4,7.7,9.67
211,20-03-10 02:15:00 AM,10.5,8.1,9.68
212,20-03-10 02:20:00 AM,10.5,8.1,9.69
213,20-03-10 02:25:00 AM,10.5,8.1,9.69
214,20-03-10 02:30:00 AM,10.5,7.7,9.60
215,20-03-10 02:35:00 AM,10.4,7.7,9.70
216,20-03-10 02:40:00 AM,10.5,7.7,9.69
217,20-03-10 02:45:00 AM,10.5,8.1,9.69
218,20-03-10 02:50:00 AM,10.5,7.7,9.75
219,20-03-10 02:55:00 AM,10.5,8.1,9.74
220,20-03-10 03:00:00 AM,10.5,7.7,9.72
221,20-03-10 03:05:00 AM,10.5,8.1,9.78
222,20-03-10 03:10:00 AM,10.4,7.7,9.67
223,20-03-10 03:15:00 AM,10.4,7.7,9.73
224,20-03-10 03:20:00 AM,10.5,7.7,9.68
225,20-03-10 03:25:00 AM,10.5,7.7,9.75
226,20-03-10 03:30:00 AM,10.5,8.1,9.70
227,20-03-10 03:35:00 AM,10.5,8.1,9.74
228,20-03-10 03:40:00 AM,10.5,7.7,9.73
229,20-03-10 03:45:00 AM,10.5,7.7,9.69
230,20-03-10 03:50:00 AM,10.4,7.7,9.68
231,20-03-10 03:55:00 AM,10.4,7.7,9.66
232,20-03-10 04:00:00 AM,10.4,7.7,9.63
233,20-03-10 04:05:00 AM,10.5,7.7,9.74
234,20-03-10 04:10:00 AM,10.4,7.7,9.69
235,20-03-10 04:15:00 AM,10.6,7.7,9.78
236,20-03-10 04:20:00 AM,10.4,7.7,9.72
237,20-03-10 04:25:00 AM,10.5,7.7,9.81
238,20-03-10 04:30:00 AM,10.5,7.7,9.82
239,20-03-10 04:35:00 AM,10.4,8.1,9.60
240,20-03-10 04:40:00 AM,10.5,8.1,9.72
241,20-03-10 04:45:00 AM,10.6,7.7,9.74
242,20-03-10 04:50:00 AM,10.5,8.1,9.72
243,20-03-10 04:55:00 AM,10.5,8.1,9.68
244,20-03-10 05:00:00 AM,10.5,7.7,9.79
245,20-03-10 05:05:00 AM,10.5,8.1,9.79
246,20-03-10 05:10:00 AM,10.5,8.1,9.87
247,20-03-10 05:15:00 AM,10.5,7.7,9.83
248,20-03-10 05:20:00 AM,10.6,8.1,9.80
249,20-03-10 05:25:00 AM,10.5,8.1,9.76
250,20-03-10 05:30:00 AM,10.5,8.1,9.78
251,20-03-10 05:35:00 AM,10.4,8.1,9.69
252,20-03-10 05:40:00 AM,10.4,7.7,9.66
253,20-03-10 05:45:00 AM,10.5,7.7,9.72
254,20-03-10 05:50:00 AM,10.5,7.7,9.73
255,20-03-10 05:55:00 AM,10.5,7.7,9.81
256,20-03-10 06:00:00 AM,10.6,7.7,9.80
257,20-03-10 06:05:00 AM,10.6,8.1,9.78
258,20-03-10 06:10:00 AM,10.6,7.7,9.73
259,20-03-10 06:15:00 AM,10.6,7.7,9.74
260,20-03-10 06:20:00 AM,10.5,7.7,9.76
261,20-03-10 06:25:00 AM,10.6,7.7,9.74
262,20-03-10 06:30:00 AM,10.5,8.1,9.68
263,20-03-10 06:35:00 AM,10.5,7.7,9.76
264,20-03-10 06:40:00 AM,10.5,7.7,9.68
265,20-03-10 06:45:00 AM,10.6,7.7,9.75
266,20-03-10 06:50:00 AM,10.6,8.1,9.74
267,20-03-10 06:55:00 AM,10.5,7.7,9.75
268,20-03-10 07:00:00 AM,10.4,7.7,9.69
269,20-03-10 07:05:00 AM,10.5,7.7,9.74
270,20-03-10 07:10:00 AM,10.5,8.1,9.78
271,20-03-10 07:15:00 AM,10.6,7.7,9.73
272,20-03-10 07:20:00 AM,10.5,8.1,9.73
273,20-03-10 07:25:00 AM,10.6,7.7,9.85
274,20-03-10 07:30:00 AM,10.5,8.1,9.80
275,20-03-10 07:35:00 AM,10.6,7.7,9.82
276,20-03-10 07:40:00 AM,10.5,8.1,9.67
277,20-03-10 07:45:00 AM,10.5,8.1,9.76
278,20-03-10 07:50:00 AM,10.5,7.7,9.70
279,20-03-10 07:55:00 AM,10.5,7.7,9.78
280,20-03-10 08:00:00 AM,10.6,8.1,9.82
281,20-03-10 08:05:00 AM,10.6,7.7,9.80
282,20-03-10 08:10:00 AM,10.6,8.1,9.82
283,20-03-10 08:15:00 AM,10.6,8.1,9.75
284,20-03-10 08:20:00 AM,10.5,8.1,9.73
285,20-03-10 08:25:00 AM,10.5,7.7,9.74
286,20-03-10 08:30:00 AM,10.5,8.1,9.74
287,20-03-10 08:35:00 AM,10.5,7.7,9.80
288,20-03-10 08:40:00 AM,10.5,8.1,9.75
289,20-03-10 08:45:00 AM,10.6,7.7,9.81
290,20-03-10 08:50:00 AM,10.6,7.7,9.82
291,20-03-10 08:55:00 AM,10.6,8.1,9.81
292,20-03-10 09:00:00 AM,10.6,8.1,9.82
293,20-03-10 09:05:00 AM,10.5,8.1,9.76
294,20-03-10 09:10:00 AM,10.6,7.7,9.79
295,20-03-10 09:15:00 AM,10.6,7.7,9.78
296,20-03-10 09:20:00 AM,10.6,8.1,9.76
297,20-03-10 09:25:00 AM,10.6,7.7,9.79
298,20-03-10 09:30:00 AM,10.5,7.7,9.83
299,20-03-10 09:35:00 AM,10.6,7.7,9.85
300,20-03-10 09:40:00 AM,10.6,7.7,9.97
301,20-03-10 09:45:00 AM,10.6,8.1,10.00
302,20-03-10 09:50:00 AM,10.5,7.7,9.78
303,20-03-10 09:55:00 AM,10.5,7.7,9.80
304,20-03-10 10:00:00 AM,10.6,7.7,9.73
305,20-03-10 10:05:00 AM,10.5,7.7,9.79
306,20-03-10 10:10:00 AM,10.6,7.7,9.87
307,20-03-10 10:15:00 AM,10.6,7.7,9.82
308,20-03-10 10:20:00 AM,10.6,7.7,9.85
309,20-03-10 10:25:00 AM,10.5,8.1,9.76
310,20-03-10 10:30:00 AM,10.6,8.1,9.82
311,20-03-10 10:35:00 AM,10.6,7.7,9.92
312,20-03-10 10:40:00 AM,10.6,7.7,10.08
313,20-03-10 10:45:00 AM,10.6,7.7,10.06
314,20-03-10 10:50:00 AM,10.6,8.1,10.06
315,20-03-10 10:55:00 AM,10.6,7.7,9.98
316,20-03-10 11:00:00 AM,10.6,7.7,10.08
317,20-03-10 11:05:00 AM,10.6,7.7,10.13
318,20-03-10 11:10:00 AM,10.5,7.7,9.98
319,20-03-10 11:15:00 AM,10.6,8.1,10.05
320,20-03-10 11:20:00 AM,10.6,8.1,10.10
321,20-03-10 11:25:00 AM,10.7,8.1,10.22
322,20-03-10 11:30:00 AM,10.5,7.7,9.87
323,20-03-10 11:35:00 AM,10.6,7.7,9.92
324,20-03-10 11:40:00 AM,10.6,7.7,9.99
325,20-03-10 11:45:00 AM,10.6,8.1,10.07
326,20-03-10 11:50:00 AM,10.6,8.1,10.07
327,20-03-10 11:55:00 AM,10.6,7.7,10.16
328,20-03-10 12:00:00 PM,10.6,8.1,9.99
329,20-03-10 12:05:00 PM,10.6,7.7,9.95
330,20-03-10 12:10:00 PM,10.6,7.7,10.07
331,20-03-10 12:15:00 PM,10.6,7.7,10.08
332,20-03-10 12:20:00 PM,10.6,7.7,10.14
333,20-03-10 12:25:00 PM,10.6,8.1,10.13
334,20-03-10 12:30:00 PM,10.7,7.7,10.23
335,20-03-10 12:35:00 PM,10.6,8.1,10.06
336,20-03-10 12:40:00 PM,10.6,8.1,10.12
337,20-03-10 12:45:00 PM,10.6,8.1,10.05
338,20-03-10 12:50:00 PM,10.6,8.1,10.04
339,20-03-10 12:55:00 PM,10.6,7.7,10.12
340,20-03-10 01:00:00 PM,10.7,7.7,10.22
341,20-03-10 01:05:00 PM,10.6,7.7,10.10
342,20-03-10 01:10:00 PM,10.7,7.7,10.23
343,20-03-10 01:15:00 PM,10.6,7.7,10.17
344,20-03-10 01:20:00 PM,10.6,7.7,10.24
345,20-03-10 01:25:00 PM,10.6,7.7,10.17
346,20-03-10 01:30:00 PM,10.7,8.1,10.28
347,20-03-10 01:35:00 PM,10.6,8.1,10.23
348,20-03-10 01:40:00 PM,10.7,8.1,10.41
349,20-03-10 01:45:00 PM,10.7,8.1,10.45
350,20-03-10 01:50:00 PM,10.7,8.1,10.53
351,20-03-10 01:55:00 PM,10.7,7.7,10.37
352,20-03-10 02:00:00 PM,10.6,8.1,10.23
353,20-03-10 02:05:00 PM,10.6,8.1,10.28
354,20-03-10 02:10:00 PM,10.7,8.1,10.31
355,20-03-10 02:15:00 PM,10.6,7.7,10.28
356,20-03-10 02:20:00 PM,10.6,8.1,10.25
357,20-03-10 02:25:00 PM,10.6,8.1,10.19
358,20-03-10 02:30:00 PM,10.6,7.7,10.14
359,20-03-10 02:35:00 PM,10.7,7.7,10.30
360,20-03-10 02:40:00 PM,10.7,8.1,10.45
361,20-03-10 02:45:00 PM,10.7,8.1,10.53
362,20-03-10 02:50:00 PM,10.7,7.7,10.41
363,20-03-10 02:55:00 PM,10.7,8.1,10.50
364,20-03-10 03:00:00 PM,10.7,7.7,10.47
365,20-03-10 03:05:00 PM,10.8,7.7,10.63
366,20-03-10 03:10:00 PM,10.7,8.1,10.48
367,20-03-10 03:15:00 PM,10.7,8.1,10.48
368,20-03-10 03:20:00 PM,10.7,8.1,10.41
369,20-03-10 03:25:00 PM,10.6,8.1,10.42
370,20-03-10 03:30:00 PM,10.9,8.1,10.80
371,20-03-10 03:35:00 PM,10.7,8.1,10.66
372,20-03-10 03:40:00 PM,10.9,7.7,10.74
373,20-03-10 03:45:00 PM,10.8,8.1,10.70
374,20-03-10 03:50:00 PM,10.8,7.7,10.55
375,20-03-10 03:55:00 PM,10.7,8.1,10.63
376,20-03-10 04:00:00 PM,10.8,7.7,10.69
377,20-03-10 04:05:00 PM,10.9,8.1,10.89
378,20-03-10 04:10:00 PM,11.0,8.0,11.14
379,20-03-10 04:15:00 PM,10.9,8.1,10.95
380,20-03-10 04:20:00 PM,10.8,8.1,10.76
381,20-03-10 04:25:00 PM,10.8,8.1,10.61
382,20-03-10 04:30:00 PM,10.9,8.1,10.88
383,20-03-10 04:35:00 PM,10.8,8.1,10.85
384,20-03-10 04:40:00 PM,10.9,8.1,10.93
385,20-03-10 04:45:00 PM,11.0,8.1,10.93
386,20-03-10 04:50:00 PM,10.9,8.1,10.94
387,20-03-10 04:55:00 PM,10.8,8.1,10.80
388,20-03-10 05:00:00 PM,10.8,8.1,10.74
389,20-03-10 05:05:00 PM,10.8,8.1,10.72
390,20-03-10 05:10:00 PM,10.8,7.7,10.76
391,20-03-10 05:15:00 PM,11.0,8.1,10.99
392,20-03-10 05:20:00 PM,11.0,8.0,11.08
393,20-03-10 05:25:00 PM,11.0,8.0,11.11
394,20-03-10 05:30:00 PM,11.0,8.1,11.05
395,20-03-10 05:35:00 PM,11.0,8.1,10.98
396,20-03-10 05:40:00 PM,10.8,8.1,10.94
397,20-03-10 05:45:00 PM,11.0,8.1,10.97
398,20-03-10 05:50:00 PM,10.8,8.1,10.91
399,20-03-10 05:55:00 PM,10.8,8.1,10.75
400,20-03-10 06:00:00 PM,11.0,8.1,10.99
401,20-03-10 06:05:00 PM,10.9,8.4,11.01
402,20-03-10 06:10:00 PM,10.9,8.1,10.86
403,20-03-10 06:15:00 PM,10.9,8.1,10.76
404,20-03-10 06:20:00 PM,10.9,8.1,10.93
405,20-03-10 06:25:00 PM,11.0,8.1,10.99
406,20-03-10 06:30:00 PM,11.0,7.7,11.06
407,20-03-10 06:35:00 PM,11.0,8.1,11.07
408,20-03-10 06:40:00 PM,11.0,8.1,11.04
409,20-03-10 06:45:00 PM,10.9,8.1,11.00
410,20-03-10 06:50:00 PM,10.9,8.1,11.01
411,20-03-10 06:55:00 PM,11.0,7.7,10.97
412,20-03-10 07:00:00 PM,10.9,7.7,11.00
413,20-03-10 07:05:00 PM,10.9,8.1,11.01
414,20-03-10 07:10:00 PM,11.0,8.1,11.06
415,20-03-10 07:15:00 PM,10.9,8.4,11.02
416,20-03-10 07:20:00 PM,10.9,8.1,10.98
417,20-03-10 07:25:00 PM,10.9,8.1,10.91
418,20-03-10 07:30:00 PM,10.9,8.1,10.94
419,20-03-10 07:35:00 PM,10.9,8.1,10.98
420,20-03-10 07:40:00 PM,11.0,8.1,11.02
421,20-03-10 07:45:00 PM,10.9,7.7,10.98
422,20-03-10 07:50:00 PM,10.9,8.4,10.98
423,20-03-10 07:55:00 PM,11.0,8.1,10.99
424,20-03-10 08:00:00 PM,11.0,8.1,11.04
425,20-03-10 08:05:00 PM,11.3,8.4,11.06
426,20-03-10 08:10:00 PM,10.9,8.1,11.02
427,20-03-10 08:15:00 PM,11.0,8.1,10.95
428,20-03-10 08:20:00 PM,11.0,8.1,10.98
429,20-03-10 08:25:00 PM,11.0,8.1,10.98
430,20-03-10 08:30:00 PM,11.0,7.7,10.99
431,20-03-10 08:35:00 PM,11.0,8.1,10.98
432,20-03-10 08:40:00 PM,10.9,8.1,10.99
433,20-03-10 08:45:00 PM,11.0,8.1,10.98
434,20-03-10 08:50:00 PM,10.9,8.1,11.00
435,20-03-10 08:55:00 PM,11.0,8.1,11.01
436,20-03-10 09:00:00 PM,11.0,7.7,11.05
437,20-03-10 09:05:00 PM,11.0,8.4,11.06
438,20-03-10 09:10:00 PM,11.0,8.1,11.02
439,20-03-10 09:15:00 PM,11.0,8.1,11.04
440,20-03-10 09:20:00 PM,11.0,8.1,11.04
441,20-03-10 09:25:00 PM,11.0,8.4,11.07
442,20-03-10 09:30:00 PM,11.0,8.0,11.08
443,20-03-10 09:35:00 PM,11.0,8.1,11.06
444,20-03-10 09:40:00 PM,11.0,8.4,11.05
445,20-03-10 09:45:00 PM,11.0,8.1,11.07
446,20-03-10 09:50:00 PM,11.0,8.4,11.07
447,20-03-10 09:55:00 PM,11.0,8.4,11.02
448,20-03-10 10:00:00 PM,11.0,8.4,11.06
449,20-03-10 10:05:00 PM,11.0,8.1,11.06
450,20-03-10 10:10:00 PM,11.0,8.1,11.04
451,20-03-10 10:15:00 PM,11.0,8.1,11.07
452,20-03-10 10:20:00 PM,11.0,8.1,11.06
453,20-03-10 10:25:00 PM,11.0,8.1,11.06
454,20-03-10 10:30:00 PM,11.0,7.7,11.07
455,20-03-10 10:35:00 PM,11.0,8.4,11.08
456,20-03-10 10:40:00 PM,11.0,8.0,11.08
457,20-03-10 10:45:00 PM,11.0,8.0,11.08
458,20-03-10 10:50:00 PM,11.0,8.1,11.05
459,20-03-10 10:55:00 PM,11.0,8.1,11.06
460,20-03-10 11:00:00 PM,10.8,8.1,11.06
461,20-03-10 11:05:00 PM,11.0,8.1,11.07
462,20-03-10 11:10:00 PM,11.0,8.4,11.06
463,20-03-10 11:15:00 PM,11.0,8.1,11.06
464,20-03-10 11:20:00 PM,11.0,8.1,11.07
465,20-03-10 11:25:00 PM,11.0,8.1,11.07
466,20-03-10 11:30:00 PM,11.0,8.1,11.07
467,20-03-10 11:35:00 PM,11.0,8.0,11.10
468,20-03-10 11:40:00 PM,11.0,8.1,11.05
469,20-03-10 11:45:00 PM,11.0,8.4,11.12
470,20-03-10 11:50:00 PM,11.0,8.1,11.07
471,20-03-10 11:55:00 PM,11.0,8.1,11.05
472,20-03-11 12:00:00 AM,11.0,8.4,11.07
473,20-03-11 12:05:00 AM,11.0,8.0,11.08
